Category,Number,Term ,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
Cellular Component,GO:0042995,cell projection,24,1.607501674,0.003180388,"MACF1, SVIL, WDR1, AVIL, FMR1, PTEN, MRI1, FBXO45, RHOF, PTPN12, MCOLN1, FCHSD1, ANO1, CYLD, SH3PXD2A, PITPNM3, TRIP10, RHOU, CFAP43, TNS3, OGT, CD44, ARHGEF5, FERMT3",1242,196,19595,1.931874199,0.901942159,0.154566871,0.152658638
Biological Process,GO:0045987,positive regulation of smooth muscle contraction,6,0.401875419,0.003477024,"EDN1, EDN2, NMU, TACR2, NPNT, PTGS2",1193,17,18585,5.498249593,0.999999928,0.364623886,0.363233076
Biological Process,GO:0045089,positive regulation of innate immune response,8,0.535833891,0.003577998,"GBP5, ADAM8, CD1D, FADD, NMI, NOD2, HAVCR2, TRIM56",1193,32,18585,3.894593462,0.999999955,0.367055951,0.365655864
Cellular Component,GO:0071162,CMG complex,5,0.334896182,0.003685954,"GINS2, MCM7, MCM4, MCM6, MCM2",1242,11,19595,7.171351193,0.932256362,0.162653218,0.160645154
Biological Process,GO:0042102,positive regulation of T cell proliferation,12,0.803750837,0.0037851,"EFNB1, KITLG, ANXA1, IL15, DHPS, PRKCQ, CD1D, TYK2, IL6ST, HAVCR2, HLA-DPA1, IL12RB2",1193,68,18585,2.749124797,0.999999983,0.380040099,0.378590487
Cellular Component,GO:0030054,cell junction,27,1.808439384,0.003793011,"MACF1, TES, WDR1, SCHIP1, C4ORF19, SMC5, EGFR, AMOT, IQCJ-SCHIP1, GJA1, CDH2, SH3PXD2A, NACC1, KDR, ITGB6, HAVCR2, MEF2B, CFAP418, ARHGEF18, GTF2F1, ELL3, TSPAN15, DLG1, ARHGEF5, CRB3, SNTB2, TP73",1242,234,19595,1.820419918,0.937360678,0.162653218,0.160645154
Biological Process,GO:0045766,positive regulation of angiogenesis,21,1.406563965,0.003952746,"SEMA5A, CCL24, CCBE1, FLT1, CXCL8, GATA6, MIR27B, HSPB1, EMP2, FGF2, THBS1, AQP1, C3, IL1A, C5, ZC3H12A, KDR, HPSE, CD34, RAPGEF3, TLR3",1193,163,18585,2.007029759,0.999999992,0.383979584,0.382514944
Biological Process,GO:0010629,negative regulation of gene expression,34,2.277294039,0.003987073,"DNMT1, CXCL8, CDKN2B-AS1, PRDM1, FGF2, TNF, MIR106B, GJA1, BRIP1, ZC3H12A, KDR, SOX9, CCN2, ROS1, CD34, HAVCR2, EDN1, SMAD3, SFMBT2, MIR27B, MIR200B, PARP14, KLF4, POU5F1, NOTCH2NLC, FOXP1, MYCN, PC, MIR186, HAND2, MYADM, CRYAB, LGMN, RBMS3",1193,316,18585,1.676154148,0.999999994,0.383979584,0.382514944
Biological Process,GO:0007267,cell-cell signaling,27,1.808439384,0.004213923,"SEMA5A, PCSK1, CXCL6, TNFAIP6, ADRA1B, PCSK5, CXCL14, PANX2, EFNB1, GJA1, ADORA1, TNFSF10, FGFBP3, FZD1, TNFSF18, CCL24, EDN1, FGFBP1, IL15, CCL20, IL18, BHLHA15, ESR2, EFNA2, FAT1, FGF12, IL17C",1193,233,18585,1.805219287,0.999999998,0.397347772,0.395832141
Biological Process,GO:0003281,ventricular septum development,8,0.535833891,0.004294286,"PAX8, HEG1, CNTRL, PRDM1, CCN1, SMAD6, DAND5, STRA6",1193,33,18585,3.776575478,0.999999998,0.397347772,0.395832141
Biological Process,GO:0010193,response to ozone,4,0.267916946,0.004544548,"IL1A, EDN1, CYP2E1, TACR1",1193,6,18585,10.38558256,1,0.402484617,0.400949393
Biological Process,GO:0072531,pyrimidine-containing compound transmembrane transport,4,0.267916946,0.004544548,"AQP9, SLC28A2, SLC28A1, SLC28A3",1193,6,18585,10.38558256,1,0.402484617,0.400949393
Biological Process,GO:0019221,cytokine-mediated signaling pathway,20,1.339584729,0.004605673,"IFNAR2, IL4R, EDN2, FZD4, IFNGR1, IL10RB, CAV1, TYK2, OSMR, RELA, IL22RA1, IL1A, SOCS1, IRAK1, IRAK2, IFNE, CCL2, IL6ST, CD44, IL12RB2",1193,154,18585,2.023165435,1,0.402484617,0.400949393
Cellular Component,GO:0031526,brush border membrane,11,0.736771601,0.004692905,"GNA13, SLC34A2, NPC1L1, CYBRD1, SLC5A1, SLC28A2, SLC26A4, TRPM6, SLC28A1, AQP1, SLC28A3",1242,61,19595,2.84502785,0.967586503,0.190062647,0.187716194
Biological Process,GO:0051056,regulation of small GTPase mediated signal transduction,17,1.138647019,0.00493998,"STARD13, ARHGAP1, ARHGAP29, MYO9B, RHOF, GMIP, ARHGAP23, ARHGAP4, AMOT, GNA13, PREX2, ARHGAP31, CHN2, PLEKHG4B, RHOU, SRGAP2, ARHGEF5",1193,122,18585,2.170757012,1,0.423850259,0.422233539
Molecular Function,GO:0070412,R-SMAD binding,7,0.468854655,0.004999217,"RANBP3, RGCC, SMAD3, SMURF1, PMEPA1, PAX6, SMAD6",1207,25,18178,4.216934548,0.998687161,0.60275877,0.600939121
Molecular Function,GO:0004704,NF-kappaB-inducing kinase activity,4,0.267916946,0.005004035,"ALK, IRAK1, RIPK3, IKBKE",1207,6,18178,10.04032035,0.998695551,0.60275877,0.600939121
Biological Process,GO:0006915,apoptotic process,57,3.817816477,0.005154103,"KLLN, TNFAIP8, PTEN, TNFAIP3, TCIRG1, RASSF5, ZC3H12A, CASP4, TNFSF10, PIM1, CASP1, IKBKG, TP63, CTSC, IER3, KLF11, HELLS, UNC5B, DAPK1, EMP2, RNF144B, ALDH1A3, IL1A, CEACAM6, IRF1, ELMO1, MAL, TNFRSF25, ELMO3, CARD16, SGK1, BIRC2, ITGB3BP, BIRC3, MCM2, KANK2, TNFRSF11B, THBS1, NTN1, NUAK2, PMAIP1, FADD, MAP2K7, PAK2, MEF2D, PLK3, TNFSF14, GADD45A, BIK, CARD6, NSG1, NOTCH2NLC, GULP1, PPP2R2B, FAS, OGT, TP73",1193,615,18585,1.443849283,1,0.425200097,0.423578228
Biological Process,GO:0002224,toll-like receptor signaling pathway,7,0.468854655,0.005210636,"TLR1, IRAK1, UNC93B1, TLR6, TICAM1, TLR5, TLR3",1193,26,18585,4.194177574,1,0.425200097,0.423578228
Biological Process,GO:0043491,protein kinase B signaling,13,0.870730074,0.005327747,"PLK3, EDN1, PTEN, FGF2, TNF, DLG1, LOX, C1QTNF12, KDR, CCL2, SOX9, NDP, EPHA2",1193,81,18585,2.50023284,1,0.425200097,0.423578228
Cellular Component,GO:0005794,Golgi apparatus,94,6.296048225,0.005353679,"SERPINA1, GALNT16, GORAB, MSLN, PCSK5, LITAF, CXCL14, ARHGAP4, WDR44, GJA1, RUSC1, NDST3, CAPN2, KDR, MAN1A1, CCN2, UBASH3A, ERMAP, CTSC, SCYL1, GBP5, ST6GAL1, IL15, MMD, EMP2, RAD23A, ZDHHC11, CASD1, ZDHHC14, MSH6, TLR1, DNM3, AKAP9, FAM20B, S100A3, TLR6, RAB7B, VAMP4, CRYAB, OPTN, RAPSN, CD44, BLZF1, MACF1, SLC35D1, FAM114A1, PKN3, ZDHHC23, NEDD9, NEDD4L, ADCY3, SGMS2, NOD2, PLD1, BARX2, FUT4, TMEM165, FUT3, AP3M1, ARL17A, ST8SIA5, HAS2, ST3GAL6, CLSPN, GBP2, RAB6A, ST3GAL1, GBP4, KCNJ2, RHBDD2, ST8SIA1, CAV2, GPR108, CAV1, TRAPPC5, AP3D1, RAB27A, RAB27B, MCOLN1, SMAD6, HS3ST1, RAB11B, EXT1, DLG1, SYNDIG1L, ZDHHC9, STING1, NEDD4, ALB, NAPEPLD, TRIP10, SLC35E2B, SNTB2, TP73",1242,1129,19595,1.313583195,0.980025852,0.205412198,0.202876245
Biological Process,GO:0043507,positive regulation of JUN kinase activity,9,0.602813128,0.00542612,"EDN1, FZD4, FZD10, TLR6, MAP3K13, MAP2K7, TNF, ARHGEF5, MAP3K5",1193,43,18585,3.260589875,1,0.425200097,0.423578228
Biological Process,GO:0002675,positive regulation of acute inflammatory response,5,0.334896182,0.005496335,"C2CD4A, ADAM8, C2CD4B, IL6ST, OSMR",1193,12,18585,6.490989103,1,0.425200097,0.423578228
Biological Process,GO:0000727,double-strand break repair via break-induced replication,5,0.334896182,0.005496335,"GINS2, MCM7, MCM4, MCM6, MCM2",1193,12,18585,6.490989103,1,0.425200097,0.423578228
Biological Process,GO:0098586,cellular response to virus,14,0.93770931,0.005741587,"IFNAR2, SMAD3, CHUK, IFNGR1, IL10RB, FMR1, TYK2, VWCE, GLI2, EXT1, IFNE, ZC3H12A, IKBKE, TLR3",1193,92,18585,2.370622107,1,0.43700887,0.435341957
Biological Process,GO:0061436,establishment of skin barrier,8,0.535833891,0.00604542,"ELOVL1, IL18, SFN, GRHL3, KLF4, ABCA12, CLDN1, TP63",1193,35,18585,3.560771165,1,0.452830764,0.451103501
Cellular Component,GO:0010008,endosome membrane,29,1.942397857,0.006239814,"ARHGAP1, AQP4, TCIRG1, CD1D, EGFR, TMEM165, WDR44, IRAK1, IRAK2, WDR91, PMEPA1, SLC15A3, HLA-DQA1, HLA-DPA1, ANXA1, INSR, AP3D1, ZDHHC11, MCOLN1, TICAM1, EHD2, IRF7, HLA-DRA, RHOU, STEAP1, UBA52, STEAP2, HLA-DRB1, TLR3",1242,267,19595,1.713603768,0.989570072,0.227441235,0.224633318
Biological Process,GO:0042098,T cell proliferation,9,0.602813128,0.006267281,"EFNB1, GJA1, DLG1, KITLG, TNFSF14, MSN, LIPA, PSMB10, IDO1",1193,44,18585,3.18648556,1,0.462114047,0.460351374
Biological Process,GO:0032088,negative regulation of NF-kappaB transcription factor activity,14,0.93770931,0.006886392,"PIAS4, CHUK, TNFAIP3, FOXJ1, NOD2, KLF4, CYLD, NWD1, IRAK1, IRAK2, ZC3H12A, CACTIN, CD200, HAVCR2",1193,94,18585,2.320183339,1,0.499952073,0.498045072
Biological Process,GO:0032570,response to progesterone,8,0.535833891,0.00709793,"PTGER2, CAV1, NR1H3, UBE3A, MBP, TACR1, THBS1, RELA",1193,36,18585,3.461860855,1,0.507501997,0.505566198
Molecular Function,GO:0003700,"transcription factor activity, sequence-specific DNA binding",57,3.817816477,0.007243964,"FOXA1, ERV3-1-ZNF117, RHOXF1, FOXI1, PRDM1, GLI2, ELK3, SOX9, JUNB, PITX1, ZNF367, TP63, KLF11, BATF3, MEF2B, ZBTB38, SKIDA1, EBF3, ETV1, PAX6, BHLHA15, ZHX1, POU5F1, FOXP1, MYCL, MYCN, PAX8, IRF1, IRF7, ZNF358, JDP2, ATF3, NFIX, DLX6, GATA6, RELA, NPAS2, ZNF469, HOXC9, MEF2D, JUND, SMAD3, VDR, PBX3, FOXJ1, NFATC1, KLF4, POU2F3, TBX18, ESR2, KLF2, TEF, NFIC, MAFF, MAFK, ZNF414, TP73",1207,605,18178,1.418921306,0.999934004,0.750212761,0.747947967
Biological Process,GO:0035589,G-protein coupled purinergic nucleotide receptor signaling pathway,5,0.334896182,0.007540523,"P2RY6, P2RY4, P2RY2, P2RY1, PTAFR",1193,13,18585,5.991682249,1,0.523602574,0.521605361
Biological Process,GO:1904823,purine nucleobase transmembrane transport,4,0.267916946,0.007575138,"AQP9, SLC28A2, SLC28A1, SLC28A3",1193,7,18585,8.901927913,1,0.523602574,0.521605361
Biological Process,GO:0042127,regulation of cell proliferation,21,1.406563965,0.007655982,"ALK, ANXA1, IL4R, PID1, JUND, TES, FANCL, PTGER2, FANCA, PRDM1, EGFR, FUT3, PLAU, SOX9, PLCD3, SGK1, JUNB, BIRC2, S100A11, EZH2, KCNH1",1193,173,18585,1.891016479,1,0.523602574,0.521605361
Molecular Function,GO:0000976,transcription regulatory region sequence-specific DNA binding,27,1.808439384,0.008052507,"FOXA1, CIITA, GATA6, FOXI1, TNF, RELA, HHEX, TP63, KLF11, JUND, SMAD3, NR1H3, ARID5B, FOXJ1, PAX6, KLF4, SMAD6, TBX18, POU5F1, PER3, PAX8, IRF1, HAND2, IRF7, MAFK, ATF3, TP73",1207,237,18178,1.715750946,0.99997756,0.750212761,0.747947967
Biological Process,GO:0007049,cell cycle,37,2.478231748,0.008060409,"KLLN, MCM7, UHRF1, FAM107A, NEDD9, BRCC3, KIF11, GNAI1, CHAF1B, CHAF1A, SENP5, MARVELD1, CNTRL, PIM1, TP63, CDKN2D, MCTS1, CDT1, HELLS, CDKN2B, TIPIN, WTAP, APEX2, CABLES1, KLHL42, CYLD, RGCC, NASP, MCM4, GAS1, GMNC, SIK1, MCM6, SPC24, ITGB3BP, MCM2, TP73",1193,369,18585,1.562059166,1,0.543386706,0.541314029
Molecular Function,GO:0005372,water transmembrane transporter activity,4,0.267916946,0.008326877,"AQP9, AQP4, SLC5A1, AQP1",1207,7,18178,8.605988874,0.999984442,0.750212761,0.747947967
Cellular Component,GO:0005654,nucleoplasm,290,19.42397857,0.008379585,"GORAB, SMC5, FZD10, LIPA, ALKBH6, NPIPB15, ELK3, RPS6KA4, RNF112, GJA1, BAIAP2L1, PSMD5, ZC3H12A, HOXA2, PIP4K2A, DPF3, SOX9, UBASH3A, JUNB, TP63, TIPIN, MEF2B, SFMBT2, ACSL5, DDX39A, PSME2, ZFPM2, UBA52, BLZF1, OPTN, ATF3, SKAP2, ASF1B, SLBP, TSHZ3, GATA6, NEDD4L, C2CD4A, BRCC3, HTATSF1, RNPC3, BRIP1, TSPAN2, NRBF2, HOXC9, HOXC8, GTF2IRD2B, NR2C2AP, TOE1, GSDMD, CDT1, PLK3, JUND, GADD45A, XRCC3, NFATC1, NMI, NOTCH2NLC, ELL3, H1-5, POLA2, STAG3, HNRNPF, NAPEPLD, CDK14, SUGP2, EZH2, TP73, FANK1, KLLN, FEN1, ELL, SPIN4, SETD9, MCUB, ADIRF, LRRC32, LITAF, HOXC10, DDA1, GLI2, LIMD2, ARHGAP4, CHAF1B, ING3, IKBKG, ZNF367, LMCD1, IKBKE, CTSC, BATF3, RMI2, ANXA1, IL15, GSTO1, NSUN5, PAX6, GMIP, BAZ1B, ZHX1, POU5F1, RNF168, ANO1, RNF169, PAX8, KIF2A, FAM20B, TUT1, CACTIN, SGK1, PTMA, CRYAB, MGLL, ARHGEF5, NFIX, SYNPO2, NEDD9, SGMS2, GNAI1, RELA, CENPC, NT5E, BTAF1, ALOX5, CAMK2N2, USP1, MBNL3, MEF2D, CBR3, CDKN2D, UBL4A, CENPU, GINS2, RSPH4A, EGLN2, RANBP3, SLF2, SF3A2, ATAD2, APEX2, NR1H3, GRHL3, VWA3B, HYPK, NUDT22, XAB2, SH3RF2, PSMC3, STING1, NFIC, CAMK4, CENPK, TRIP10, HDGF, PLCD3, CAPS, SPC24, FOXA1, STEAP4, FMR1, POGK, C4ORF19, PRDM1, AMOT, FBL, RBMX2, KHSRP, ZNF85, PIM1, SLC16A7, PIAS4, TLE4, SNRPN, IL4R, ZBTB38, NANOS3, ZBTB37, ARID5B, KAZN, THOC2, GTF2F1, EMSY, FOXP1, MSH6, MYCL, MAU2, MYCN, SLFN11, CCNE2, FRMD8, TNIK, SREK1, DNMT1, AKNA, FAM114A1, MRI1, AK5, NPAS2, INAVA, SEL1L3, NPAT, SOCS1, IRAK1, ORC1, NACC1, ZNF425, CLSPN, SRGAP2, STIL, SMAD3, RHBDD2, VDR, SMURF1, FANCL, ECD, FANCA, UBE2A, FBXO32, SMAD6, LSM4, POU2F3, ESR2, NR4A2, LSM8, RGCC, NASP, MAFF, MAFK, HPSE, OGT, PHF19, CIITA, TNFAIP8, RHOXF1, MCM7, SCHIP1, PTEN, FHL2, RBM4, SENP5, H2BC21, ITGB6, GET3, NPIPA5, CFAP45, KLF11, RFC4, CHUK, RFC2, VEZF1, RAD23A, GCNA, SMC1B, CCNA1, DBF4, SETBP1, ELF4, IRF1, OAS3, IRF7, MCM4, LCOR, DNAJC9, MCM6, DTL, ITGB3BP, MCM2, BIRC3, TRIM56, CEBPD, UHRF1, MLLT1, PPM1D, HDAC9, NTN1, UACA, BARX2, PSMB10, POLD3, RBBP8, GBP2, MUTYH, WTAP, PTPN12, KLF4, MCOLN1, TBX18, DHODH, H3-7, SNTB2",1242,4029,19595,1.135597434,0.997833095,0.290891306,0.287300056
Molecular Function,GO:0045028,G-protein coupled purinergic nucleotide receptor activity,5,0.334896182,0.008492975,"P2RY6, P2RY4, P2RY2, P2RY1, PTAFR",1207,13,18178,5.792492512,0.999987537,0.750212761,0.747947967
Biological Process,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,10,0.669792364,0.0088149,"CDKN2D, SFN, CARD16, KLF4, PTGS2, THBS1, CRYAB, TNF, CD44, AQP1",1193,56,18585,2.781852473,1,0.585880492,0.583645728
Biological Process,GO:0061028,establishment of endothelial barrier,6,0.401875419,0.009233717,"EDNRB, PECAM1, MYADM, MSN, HPSE, RAPGEF3",1193,21,18585,4.450963956,1,0.605193222,0.602884792
Biological Process,GO:0019882,antigen processing and presentation,8,0.535833891,0.009601259,"EXT1, CD74, RAB27A, HLA-DRA, RAB6A, HLA-DRB1, HLA-DQA1, HLA-DPA1",1193,38,18585,3.279657652,1,0.61457172,0.612227518
Biological Process,GO:0042060,wound healing,14,0.93770931,0.009714575,"MACF1, SMAD3, SERPINB2, NFATC1, GRHL3, FGF2, POU2F3, NOTCH2NLC, AQP1, ELK3, EXT1, LOX, ITGB6, MAP3K5",1193,98,18585,2.225481978,1,0.61457172,0.612227518
Molecular Function,GO:0005524,ATP binding,123,8.238446082,0.009782875,"PI4K2B, AMHR2, TTLL10, DNHD1, SMC5, ABCA12, NADSYN1, MYLK, RPS6KA4, PIM1, KDR, PIP4K2A, KIF21B, ROS1, MAP3K5, TOR3A, DAPK1, ATP11C, ACSL5, PASK, ATAD3C, MSH6, SLFN11, DDX39A, MTHFD1, MAK, SIK1, PRKCQ, TNIK, SIK2, ALPK1, SLC27A3, PI4K2A, DGKI, DGKH, EPHA2, SLC22A4, UBA6, MST1R, AK5, BRIP1, RNF213, NUAK2, IRAK1, ORC1, IRAK2, STK38L, MAP2K7, TRPM6, MYH10, PLK3, ATP8B3, PLK2, INSR, XRCC3, ASNS, UBE2A, ADCY10, EHD2, UCK2, FARSA, MAP3K13, CDK14, ALK, CIITA, FLT1, MCM7, MAST4, MAST3, KIF11, FARS2, GET3, IKBKE, SCYL1, ABCC3, HELLS, RFC4, RIPK3, CHUK, RFC2, HUNK, ABCC9, PEX1, TYK2, BAZ1B, SMC1B, ACTA2, ACTBL2, KIF2A, OAS3, DMC1, MYO3A, FAM20B, MCM4, TUT1, MCM6, SGK1, MCM2, PKN3, DNAH5, ADCY3, ATP10A, NOD2, NT5C2, HSPA14, PAPSS2, EGFR, NWD1, BTAF1, MTHFD1L, P2RY4, P2RY1, PAK3, PAK2, MAP3K3, SLC12A4, STYK1, ATAD2, MYO9B, PC, PSMC3, CAMK4, MYO1F",1207,1498,18178,1.236608214,0.999997776,0.794197844,0.791800265
Biological Process,GO:0090660,cerebrospinal fluid circulation,5,0.334896182,0.010027977,"DAW1, AQP4, CFAP54, CFAP43, CFAP45",1193,14,18585,5.563704946,1,0.61457172,0.612227518
Biological Process,GO:0030174,regulation of DNA-dependent DNA replication initiation,5,0.334896182,0.010027977,"CDT1, MCM7, MCM4, MCM6, MCM2",1193,14,18585,5.563704946,1,0.61457172,0.612227518
Biological Process,GO:0085029,extracellular matrix assembly,5,0.334896182,0.010027977,"COL1A2, HAS2, SOX9, GPM6B, HAPLN2",1193,14,18585,5.563704946,1,0.61457172,0.612227518
Biological Process,GO:0001935,endothelial cell proliferation,7,0.468854655,0.010799745,"DLG1, CAV2, CAV1, COL8A1, CD34, LIPA, FGF2",1193,30,18585,3.634953898,1,0.629495203,0.627094077
Biological Process,GO:0007275,multicellular organism development,18,1.205626256,0.01088268,"ALK, FLT1, VDR, FST, INSR, GREB1L, LIF, HUNK, MST1R, FSTL1, EGFR, MYCNOS, CDH2, PIM1, KDR, CDH24, ROS1, EPHA2",1193,144,18585,1.947296731,1,0.629495203,0.627094077
Biological Process,GO:0007568,aging,18,1.205626256,0.01088268,"CIITA, CDKN2B, JUND, IL15, PTGS2, TNFRSF1B, FGF2, CLDN1, EDNRB, COL4A2, IRAK1, UCP3, P2RY1, KRT14, UCP2, MBP, CCN2, CTSC",1193,144,18585,1.947296731,1,0.629495203,0.627094077
Biological Process,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,10,0.669792364,0.011056543,"KANK2, CDKN2B, DLG1, SLFN11, PTEN, FAM107A, CCL2, ZNF655, KLF4, EZH2",1193,58,18585,2.685926525,1,0.629495203,0.627094077
Biological Process,GO:0050776,regulation of immune response,8,0.535833891,0.011069726,"SMAD3, GPR108, IRF1, IRF7, DNASE2, VSIR, CD22, CD200",1193,39,18585,3.195563866,1,0.629495203,0.627094077
Biological Process,GO:0070374,positive regulation of ERK1 and ERK2 cascade,25,1.674480911,0.011071859,"PTEN, NOD2, FGF2, TNF, EGFR, P2RY6, P2RY1, KDR, CCL2, CCN2, MAP2K7, HAVCR2, CD74, CCL24, CCL20, TPBG, MIR27B, NPNT, NOTCH2NLC, ACTA2, IL1A, GAREM1, HAND2, CD44, HLA-DRB1",1193,227,18585,1.715679939,1,0.629495203,0.627094077
Cellular Component,GO:0042555,MCM complex,4,0.267916946,0.011152459,"MCM7, MCM4, MCM6, MCM2",1242,8,19595,7.888486312,0.999718624,0.365039581,0.36053292
Molecular Function,GO:0031404,chloride ion binding,5,0.334896182,0.01127461,"AMY2A, AMY1A, AMY1B, AMY1C, CTSC",1207,14,18178,5.378743047,0.999999698,0.794197844,0.791800265
Molecular Function,GO:0019955,cytokine binding,9,0.602813128,0.011385188,"IFNAR2, CD74, NRP2, FZD4, IFNGR1, IL6ST, OSMR, POU5F1, IL12RB2",1207,47,18178,2.883921804,0.999999739,0.794197844,0.791800265
Cellular Component,GO:0030485,smooth muscle contractile fiber,3,0.200937709,0.011517024,"ACTA2, NPNT, IDO1",1242,3,19595,15.77697262,0.999784948,0.365039581,0.36053292
Biological Process,GO:0002067,glandular epithelial cell differentiation,4,0.267916946,0.011546421,"EXT1, CAV1, SOX9, KLF4",1193,8,18585,7.789186924,1,0.633576313,0.63115962
Biological Process,GO:0006271,DNA strand elongation involved in DNA replication,4,0.267916946,0.011546421,"POLD3, RFC4, MCM7, MCM4",1193,8,18585,7.789186924,1,0.633576313,0.63115962
Biological Process,GO:0030836,positive regulation of actin filament depolymerization,4,0.267916946,0.011546421,"SEMA5A, WDR1, PLEK, PDXP",1193,8,18585,7.789186924,1,0.633576313,0.63115962
Biological Process,GO:0002001,renin secretion into blood stream,3,0.200937709,0.011804823,"EDNRB, SUCNR1, PCSK5",1193,3,18585,15.57837385,1,0.63789296,0.635459801
Biological Process,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,9,0.602813128,0.012030615,"MSH6, SFN, TNFRSF1B, FNIP2, TNF, IKBKE, EPHA2, IER3, TP73",1193,49,18585,2.861333972,1,0.63789296,0.635459801
Biological Process,GO:0071407,cellular response to organic cyclic compound,9,0.602813128,0.012030615,"STING1, HAND2, IL18, CCL2, NOD2, PAK3, TNF, PAK2, GLI2",1193,49,18585,2.861333972,1,0.63789296,0.635459801
Biological Process,GO:0070301,cellular response to hydrogen peroxide,11,0.736771601,0.012188412,"EDN1, MAP1LC3A, ANXA1, RIPK3, TNFAIP3, RELA, KLF2, EZH2, IL18BP, AQP1, MAP3K5",1193,69,18585,2.483508874,1,0.639079084,0.636641401
Biological Process,GO:0060070,canonical Wnt signaling pathway,14,0.93770931,0.012375573,"FZD1, EDN1, FZD4, FZD7, PTEN, FZD10, KLF4, FGF2, NR4A2, EXT1, EDNRB, FRZB, SOX9, NDP",1193,101,18585,2.159378553,1,0.641761882,0.639313966
Molecular Function,GO:0045030,UTP-activated nucleotide receptor activity,3,0.200937709,0.012611657,"P2RY6, P2RY4, P2RY2",1207,3,18178,15.06048053,0.99999995,0.794197844,0.791800265
Molecular Function,GO:0005415,nucleoside:sodium symporter activity,3,0.200937709,0.012611657,"SLC28A2, SLC28A1, SLC28A3",1207,3,18178,15.06048053,0.99999995,0.794197844,0.791800265
Molecular Function,GO:1990837,sequence-specific double-stranded DNA binding,52,3.482920295,0.012627875,"FOXA1, RHOXF1, FOXI1, PRDM1, HOXC10, GLI2, ELK3, FOXQ1, HOXA2, SOX9, JUNB, PITX1, KLF11, BATF3, MEF2B, ZBTB37, ETV1, PAX6, BHLHA15, POU5F1, FOXP1, MYCN, PAX8, ELF4, ELF5, HAND2, IRF7, JDP2, ATF3, NFIX, CEBPD, DLX6, GATA6, BARX2, NPAS2, HOXC9, HOXC8, MEF2D, JUND, IRX5, DMRT1, IRX3, NFATC1, KLF4, POU2F3, TBX18, KLF2, NR4A2, TEF, NFIC, MAFF, SP8",1207,558,18178,1.403485641,0.999999951,0.794197844,0.791800265
Biological Process,GO:0010243,response to organonitrogen compound,5,0.334896182,0.012991306,"IL1A, NNMT, TNIK, CYP2E1, TP73",1193,15,18585,5.192791282,1,0.659204004,0.656689558
Biological Process,GO:0046626,regulation of insulin receptor signaling pathway,5,0.334896182,0.012991306,"RBM4, BAIAP2L1, VWA2, SIK2, OGT",1193,15,18585,5.192791282,1,0.659204004,0.656689558
Molecular Function,GO:0030165,PDZ domain binding,13,0.870730074,0.013186681,"FZD1, SLC22A4, TMEM88B, FZD4, FZD7, SDC2, PTEN, ARHGAP29, ADRB1, GNG12, SHISA9, GNG5, LNX1",1207,88,18178,2.224843715,0.999999977,0.794197844,0.791800265
Biological Process,GO:0045444,fat cell differentiation,12,0.803750837,0.014079197,"NR4A2, ADGRF1, STEAP4, SOCS1, CEBPD, ADGRF5, LRRC8C, ARID5B, KLF4, ZFPM2, SMAD6, JDP2",1193,81,18585,2.307907237,1,0.706805668,0.704109651
Molecular Function,GO:0045236,CXCR chemokine receptor binding,5,0.334896182,0.014580598,"CXCL6, CXCL8, CXCL1, CXCL3, CXCL2",1207,15,18178,5.020160177,0.999999996,0.817446241,0.814978479
Biological Process,GO:0033674,positive regulation of kinase activity,11,0.736771601,0.014758265,"ALK, CD74, FLT1, INSR, KDR, MST1R, ROS1, CD44, HLA-DRB1, EGFR, EPHA2",1193,71,18585,2.413550878,1,0.73309742,0.730301117
Molecular Function,GO:0017147,Wnt-protein binding,7,0.468854655,0.014806573,"FZD1, FZD4, FRZB, FZD7, APCDD1L, FZD10, APCDD1",1207,31,18178,3.400753668,0.999999997,0.817446241,0.814978479
Cellular Component,GO:0043235,receptor complex,24,1.607501674,0.015296003,"ALK, IL4R, FLT1, SMAD3, AMHR2, VDR, INSR, LOXL4, NR1H3, TNFRSF11B, MST1R, MCOLN1, OSMR, EGFR, NOTCH2NLC, TLR1, KDR, ITGB6, TLR6, IL6ST, ROS1, RAMP1, IL12RB2, EPHA2",1242,224,19595,1.690389924,0.999986822,0.454014801,0.44840968
